,date,account_value
167,2021-09-19,2292732.992999998
168,2021-09-20,2279498.492999998
169,2021-09-21,2312740.9929999984
170,2021-09-22,2307221.0929999975
171,2021-09-23,2309904.592999998
172,2021-09-26,2285709.092999998
173,2021-09-27,2288727.892999998
174,2021-09-28,2278772.292999998
175,2021-09-29,2278751.2929999977
176,2021-09-30,2294233.492999998
177,2021-10-03,2298185.2929999977
178,2021-10-04,2298309.992999998
179,2021-10-05,2291881.7929999977
180,2021-10-06,2313581.592999998
181,2021-10-07,2301880.692999998
182,2021-10-10,2299545.1929999976
183,2021-10-11,2281961.692999998
184,2021-10-12,2267908.892999998
185,2021-10-13,2248889.192999998
186,2021-10-14,2241237.692999998
187,2021-10-17,2231633.7929999977
188,2021-10-18,2197314.892999998
189,2021-10-19,2173000.2929999977
190,2021-10-21,2191522.792999998
191,2021-10-24,2157598.8929999974
192,2021-10-25,2126783.9929999975
193,2021-10-26,2139645.1929999976
194,2021-10-27,2139441.292999998
195,2021-10-28,2136079.992999998
196,2021-10-31,2141266.6929999976
197,2021-11-01,2159050.892999998
198,2021-11-02,2156811.892999998
199,2021-11-03,2145132.4929999975
200,2021-11-04,2142444.6929999976
201,2021-11-07,2131378.392999998
202,2021-11-08,2114164.092999998
203,2021-11-09,2132426.092999998
204,2021-11-10,2151952.892999998
205,2021-11-11,2150466.5929999975
206,2021-11-14,2138839.192999998
207,2021-11-15,2134861.9929999975
208,2021-11-16,2158097.092999998
209,2021-11-17,2162839.1929999976
210,2021-11-18,2153535.2929999977
211,2021-11-21,2156167.392999998
212,2021-11-22,2153235.7929999977
213,2021-11-23,2155559.492999998
214,2021-11-24,2136900.592999998
215,2021-11-25,2122058.7929999977
216,2021-11-28,2097912.992999998
217,2021-11-29,2085643.2929999977
218,2021-11-30,2058261.3929999974
219,2021-12-01,2107056.492999998
220,2021-12-02,2126629.492999998
221,2021-12-05,2129007.892999998
222,2021-12-06,2130089.692999998
223,2021-12-07,2148174.192999998
224,2021-12-08,2133418.092999998
225,2021-12-09,2149192.892999998
226,2021-12-12,2153498.892999998
227,2021-12-13,2153417.6929999976
228,2021-12-14,2166069.092999998
229,2021-12-15,2191102.892999998
230,2021-12-19,2157995.092999998
231,2021-12-20,2147152.592999998
232,2021-12-21,2139495.692999998
233,2021-12-22,2124977.6929999976
234,2021-12-23,2114065.892999998
235,2021-12-26,2113563.392999998
236,2021-12-27,2118373.692999998
237,2021-12-28,2127728.392999998
238,2021-12-29,2128081.0929999975
239,2021-12-30,2132635.392999998
240,2022-01-02,2143961.392999998
241,2022-01-03,2143948.0929999975
242,2022-01-04,2145269.092999998
243,2022-01-05,2141405.792999998
244,2022-01-06,2158476.092999998
245,2022-01-09,2169674.092999998
246,2022-01-10,2201546.1929999976
247,2022-01-11,2245028.2929999977
248,2022-01-12,2210645.1929999976
249,2022-01-13,2226487.9929999975
250,2022-01-16,2224650.092999998
251,2022-01-17,2216931.992999998
252,2022-01-18,2217402.692999998
253,2022-01-19,2229077.992999998
254,2022-01-20,2243868.992999998
255,2022-01-23,2252277.5929999975
256,2022-01-24,2215497.392999998
257,2022-01-25,2210482.2929999977
258,2022-01-26,2184770.292999998
259,2022-01-27,2183033.592999998
260,2022-01-30,2182700.392999998
261,2022-01-31,2175039.492999998
262,2022-02-01,2195618.6929999976
263,2022-02-02,2201793.192999998
264,2022-02-03,2199967.5929999975
265,2022-02-06,2211529.5929999975
266,2022-02-07,2207501.092999998
267,2022-02-08,2213212.7929999977
268,2022-02-09,2217802.492999998
269,2022-02-10,2217476.392999998
270,2022-02-13,2225730.7929999977
271,2022-02-14,2220885.392999998
272,2022-02-15,2232720.192999998
273,2022-02-16,2242596.6929999976
274,2022-02-17,2237344.7929999977
275,2022-02-20,2222253.592999998
276,2022-02-22,2218214.0929999975
277,2022-02-23,2227812.6929999976
278,2022-02-24,2197898.392999998
279,2022-02-27,2157043.492999998
280,2022-02-28,2174435.692999998
281,2022-03-01,2173197.292999998
282,2022-03-02,2166198.392999998
283,2022-03-03,2160290.592999998
284,2022-03-06,2147042.492999998
285,2022-03-07,2081693.0929999975
286,2022-03-08,2070187.3929999976
287,2022-03-09,2103981.7929999977
288,2022-03-10,2101519.3929999983
289,2022-03-13,2110256.392999998
290,2022-03-14,2115363.992999998
291,2022-03-15,2118871.592999998
292,2022-03-16,2128646.5929999975
293,2022-03-20,2110369.4929999975
294,2022-03-21,2121021.992999998
295,2022-03-22,2149502.6929999976
296,2022-03-23,2140652.4929999975
297,2022-03-24,2146259.692999998
298,2022-03-27,2147045.2929999977
299,2022-03-28,2147816.6929999976
300,2022-03-29,2138734.4929999975
301,2022-03-30,2135571.292999998
302,2022-03-31,2138907.892999998
303,2022-04-03,2143594.2929999977
304,2022-04-04,2129573.592999998
305,2022-04-05,2117368.6929999976
306,2022-04-06,2109188.2929999977
307,2022-04-07,2102886.892999998
308,2022-04-10,2116998.392999998
309,2022-04-11,2115167.792999998
310,2022-04-12,2099311.492999998
311,2022-04-13,2106866.492999998
312,2022-04-17,2095836.0929999973
313,2022-04-18,2074928.1929999979
314,2022-04-19,2091359.3929999976
315,2022-04-20,2101716.692999998
316,2022-04-21,2112578.892999998
317,2022-04-24,2110111.092999998
318,2022-04-25,2101870.892999998
319,2022-04-26,2105561.0929999975
320,2022-04-27,2103446.592999998
321,2022-04-28,2089445.0929999978
322,2022-05-05,2097138.6929999974
323,2022-05-08,2098906.892999998
324,2022-05-09,2101681.992999998
325,2022-05-10,2096746.8929999974
326,2022-05-11,2086281.7929999977
327,2022-05-12,2084578.6929999976
328,2022-05-16,2040761.1929999979
329,2022-05-17,2030237.9929999975
330,2022-05-18,2007869.4929999972
331,2022-05-19,1994815.4929999975
332,2022-05-22,1959971.5929999975
333,2022-05-23,1974326.3929999978
334,2022-05-24,1971340.5929999975
335,2022-05-25,1973080.5929999975
336,2022-05-26,1986358.1929999976
337,2022-05-29,2023538.8929999976
338,2022-05-30,2033426.4929999975
