date,a2c,ddpg,td3,ppo,sac,mvo
2021-11-28,2097912.992999998,2220013.3058999996,2304150.42825,2404473.0746000004,2147846.4729999998,2062030.9240746228
2021-11-29,2085643.2929999977,2222923.2059,2308240.12825,2392666.5048,2149149.073,2064839.699541471
2021-11-30,2058261.3929999974,2207037.1059,2303956.92825,2393069.433200001,2147414.4729999998,2047377.6582840635
2021-12-01,2107056.492999998,2227713.3059,2333487.72825,2434703.6646,2164904.273,2066247.3997285562
2021-12-02,2126629.492999998,2247466.2059,2344186.02825,2441312.890400001,2170607.973,2074994.4756298906
2021-12-05,2129007.892999998,2252720.8059,2349176.22825,2446681.71825,2172804.973,2085862.1135998047
2021-12-06,2130089.692999998,2247426.1059,2365929.8282500003,2467787.34585,2182526.2730000005,2095473.7222868837
2021-12-07,2148174.192999998,2271726.0059,2382999.42825,2478963.3704000004,2191105.273,2114924.8970912304
2021-12-08,2133418.092999998,2273564.1059,2385394.12825,2477368.1412,2188238.973,2114857.0981329978
2021-12-09,2149192.892999998,2293853.9058999997,2454212.32825,2558343.667950001,2218592.6649,2154727.3494041646
2021-12-12,2153498.892999998,2336894.8058999996,2537672.32825,2642145.4901000005,2272198.2649,2218673.4671592186
2021-12-13,2153417.6929999976,2295080.1059,2550570.9282500003,2723944.4643500005,2273916.3649,2202438.604499528
2021-12-14,2166069.092999998,2337616.1058999994,2647919.6282499996,2814362.6388500007,2338951.7649,2261377.5924561373
2021-12-15,2191102.892999998,2374956.3058999996,2720968.92825,2906396.7139000003,2373156.6648999997,2306310.8754709577
2021-12-19,2157995.092999998,2352729.0058999998,2691499.4282500003,2866665.488950001,2349803.8649,2279444.8966825586
2021-12-20,2147152.592999998,2324609.5059,2639551.82825,2811969.8851500014,2312704.34945,2241278.819222729
2021-12-21,2139495.692999998,2336518.4059,2601644.52825,2744677.981350001,2282461.94185,2230219.8201363897
2021-12-22,2124977.6929999976,2316855.8059,2546820.52825,2669753.8667500005,2257492.14185,2196526.2393262004
2021-12-23,2114065.892999998,2296238.9059,2506690.6282499996,2629795.362950001,2233270.44185,2172673.568354185
2021-12-26,2113563.392999998,2284759.9059,2547635.52825,2712207.7592000007,2262555.74185,2181902.6715550935
2021-12-27,2118373.692999998,2289222.6059,2556281.92825,2732172.438400001,2267698.4418500005,2186155.984109119
2021-12-28,2127728.392999998,2299168.9058999997,2526060.4282500003,2670181.8310000007,2248498.24185,2178915.8635646324
2021-12-29,2128081.0929999975,2295233.4058999997,2570471.52825,2728229.9223000007,2281679.9418499996,2194517.257475287
2021-12-30,2132635.392999998,2305172.6059,2611354.1282499996,2749668.622300001,2319293.24185,2215984.2014838075
2022-01-02,2143961.392999998,2343948.9058999997,2640469.72825,2786860.822300001,2325889.94185,2245951.3853059895
2022-01-03,2143948.0929999975,2331189.8058999996,2582966.12825,2718639.5223000003,2295741.3343500006,2218969.7584976186
2022-01-04,2145269.092999998,2336976.5058999998,2567807.82825,2703746.522300001,2281241.3268499994,2208054.3940088595
2022-01-05,2141405.792999998,2327047.5058999993,2590415.52825,2750037.622300001,2291661.02685,2215082.5323129697
2022-01-06,2158476.092999998,2345345.6059,2574386.62825,2714424.022300001,2284325.22685,2214754.980296321
2022-01-09,2169674.092999998,2353448.3058999996,2591889.22825,2741664.2223000005,2294163.9268499995,2223934.736774129
2022-01-10,2201546.1929999976,2369844.1059,2592493.82825,2733581.522300001,2284263.52685,2222680.207586118
2022-01-11,2245028.2929999977,2402536.6059,2599335.72825,2735191.622300001,2294836.32685,2236427.202697374
2022-01-12,2210645.1929999976,2401446.2059,2608840.02825,2734269.422300001,2296134.32685,2249402.673851133
2022-01-13,2226487.9929999975,2423416.0058999998,2643192.22825,2769792.1223000004,2310863.01935,2269562.148162785
2022-01-16,2224650.092999998,2430227.7059000004,2682518.22825,2804079.822300001,2315243.41935,2292816.2039918257
2022-01-17,2216931.992999998,2439672.9059,2665537.02825,2787465.8223,2318863.7193500004,2284567.6645915387
2022-01-18,2217402.692999998,2441639.7059,2668773.32825,2797190.0223000003,2321651.31935,2291596.0207429314
2022-01-19,2229077.992999998,2465004.8058999996,2671641.02825,2796236.4223000007,2313228.91935,2300457.436859005
2022-01-20,2243868.992999998,2506690.8059,2704636.52825,2806221.8223000006,2316104.81935,2328451.327972951
2022-01-23,2252277.5929999975,2523128.7059,2740719.62825,2819252.4223000007,2339876.31935,2367464.97810237
