,date,account_value
108,2021-06-11,2262959.0752586843
109,2021-06-14,2259592.369150591
110,2021-06-15,2256398.2966179373
111,2021-06-16,2241058.09837575
112,2021-06-17,2241733.7890266897
113,2021-06-18,2240860.4815926077
114,2021-06-21,2244185.499277544
115,2021-06-22,2243997.664942217
116,2021-06-23,2242589.802416277
117,2021-06-24,2262681.254976702
118,2021-06-25,2266548.699091387
119,2021-06-28,2274124.159716082
120,2021-06-29,2254387.3173088552
121,2021-06-30,2261724.5561317923
122,2021-07-01,2251550.4316353323
123,2021-07-02,2257001.8481010916
124,2021-07-05,2247696.7826790335
125,2021-07-06,2222844.2557014944
126,2021-07-07,2213798.490435076
127,2021-07-08,2220024.1749825003
128,2021-07-09,2212004.8767189505
129,2021-07-12,2215842.4645332815
130,2021-07-13,2214636.3411201956
131,2021-07-14,2240801.5475868704
132,2021-07-15,2281033.7450279715
133,2021-07-16,2277137.391771746
134,2021-07-19,2258124.2871040823
135,2021-07-20,2239289.266024065
136,2021-07-22,2327400.035936785
137,2021-07-23,2335420.615786028
138,2021-07-26,2327028.8047661306
139,2021-07-27,2331190.5087990286
140,2021-07-28,2331315.2548546316
141,2021-07-29,2356943.327532244
142,2021-07-30,2429770.1195625784
143,2021-08-02,2453154.5285973074
144,2021-08-03,2494394.519091082
145,2021-08-04,2471281.9072975637
146,2021-08-05,2512987.619112444
147,2021-08-06,2527424.6965050222
148,2021-08-09,2545109.5184502127
149,2021-08-10,2579093.4176048758
150,2021-08-11,2582088.9249825003
151,2021-08-12,2660731.2635139944
152,2021-08-13,2673113.3371529104
153,2021-08-16,2658747.1433739187
154,2021-08-17,2710580.7218422415
155,2021-08-18,2709095.670221758
156,2021-08-20,2676794.60971303
157,2021-08-23,2692024.1051582815
158,2021-08-24,2751487.775301409
159,2021-08-25,2744043.8455833914
160,2021-08-26,2725592.8838982107
161,2021-08-27,2733891.6736549856
162,2021-08-30,2736406.8764519216
163,2021-08-31,2793154.137827349
164,2021-09-01,2783719.6181969168
165,2021-09-02,2795662.886766863
166,2021-09-03,2824449.9846214773
167,2021-09-06,2851118.324366045
168,2021-09-07,2827293.2682747366
169,2021-09-08,2820803.5707954885
170,2021-09-09,2825044.0111793997
171,2021-09-13,2819098.934534502
172,2021-09-14,2849898.974214983
173,2021-09-15,2890095.045977068
174,2021-09-16,2876056.6148857595
175,2021-09-17,2867907.9548286917
176,2021-09-20,2828598.874567461
177,2021-09-21,2870790.9903282644
178,2021-09-22,2928064.5840248587
179,2021-09-23,2962508.8834328176
