,a2c,ddpg,td3,ppo,sac,mvo
2021-10-06,2827509.532419886,2334821.316483551,2527742.425028366,2373311.616553397,2582319.5395788252,2531618.188963493
2021-10-07,2926148.678898127,2398636.5341349184,2566216.2340341033,2382505.9676636835,2628591.315007597,2585027.700445977
2021-10-08,2959273.416653834,2400485.88731485,2575338.898493332,2396484.9453475443,2667342.3671850264,2580769.1185080446
2021-10-11,2919920.5454431404,2422624.346726471,2537499.3811440887,2402045.3648869274,2547836.699399382,2567676.1635014676
2021-10-12,2931775.496082209,2444515.7851419984,2552481.251047653,2417128.981920947,2536328.706036955,2589664.0128212483
2021-10-13,2985533.214589472,2437602.393479401,2574342.946726364,2432654.4561321205,2555869.2906944375,2602861.5380271147
2021-10-14,3035214.9989215643,2456456.1631632387,2575309.655787033,2458106.211449164,2546696.5903777564,2622715.997319567
2021-10-18,3101027.5849981103,2492516.042771393,2598743.777094406,2455914.6023667436,2574124.2303610025,2616803.819509462
2021-10-19,3136050.630750704,2480355.2387857973,2576930.702158493,2465003.759122992,2568237.3830456566,2566546.6306536123
2021-10-20,3107441.786652632,2451437.2844706117,2547855.1183724822,2439512.4533387246,2547672.18460232,2527180.1288686213
2021-10-21,3073159.2369923615,2433651.265275055,2513740.4830727996,2426360.1672814125,2495159.7957858373,2517958.8470465313
2021-10-22,3057849.634777308,2410902.2584086,2502855.658014816,2417208.651474661,2470765.8924559425,2504593.7391601675
2021-10-25,3052629.5687955725,2399204.0283976137,2483539.3816781463,2394548.7535116565,2460092.2379051764,2478474.774893488
2021-10-26,3127063.5834251046,2424980.70170694,2503501.350962204,2412748.055450629,2466776.316045435,2495429.4564846666
2021-10-27,3128569.5138416807,2423607.3118143617,2496916.3264871063,2404030.38216664,2468309.234731348,2500996.140002005
2021-10-28,3051418.568417151,2393997.4658976137,2450613.7419228973,2376776.1524109524,2422186.7446037848,2448719.122806186
2021-10-29,2982129.484779589,2388709.9850016176,2433250.159037155,2351342.504803263,2398914.697698267,2447791.6496190485
2021-11-01,3047556.5980913565,2423805.281571442,2475219.301477951,2387571.3675835594,2445092.2952477057,2489254.732787954
2021-11-02,3038191.5019609854,2444872.6529093324,2474910.9888101043,2387971.998852099,2442695.206670435,2493837.314159824
2021-11-03,3044501.9537584707,2440029.3634195863,2473196.540567917,2392883.3316533496,2444589.1538445074,2478184.6156806713
2021-11-04,3059342.3090288565,2448338.96644693,2490449.5262551727,2414359.8278615824,2455903.1865898687,2494821.2356062243
2021-11-08,3148313.2547686026,2466583.268021637,2506244.396326584,2408235.124444628,2459463.7644554693,2501155.4770283927
2021-11-09,3152375.9041750357,2456599.7319803773,2510570.5572457733,2416491.88164638,2464719.6657005865,2495139.7221751236
2021-11-10,3155747.8843843862,2445783.540513092,2494553.2430673065,2417043.9834718155,2457664.5157524664,2476465.6651473157
2021-11-11,3118385.0877687857,2431174.1198282777,2475046.7686562957,2395846.9962967937,2456145.362279566,2471192.4638973293
2021-11-12,3203634.1451799795,2459781.0048990785,2491310.81321196,2407404.757937579,2488803.9700371344,2489805.272162066
2021-11-15,3194242.8425218984,2463133.6722269594,2491098.4168801727,2405981.7824424156,2501321.378331812,2503909.22876307
2021-11-16,3202475.0438082144,2507650.2102518617,2490544.299311203,2396635.3571378198,2496449.2267357428,2487464.268048468
2021-11-17,3207473.4760744497,2518244.2834635316,2482960.997950119,2376424.3155068383,2473329.1878410894,2459688.915046473
2021-11-18,3139015.6010897085,2486972.790879303,2453776.5557198944,2349969.8589335964,2445539.072072657,2442508.798949741
2021-11-22,3072168.6890337393,2433651.871750885,2417619.9383950653,2307449.7930465112,2415943.1462303717,2401218.4221615307
2021-11-23,3101955.3344042227,2440755.946335846,2425208.5429788055,2322602.2658952777,2420180.862630518,2412340.0935751502
2021-11-24,3071623.499115221,2408815.0440226137,2404972.127146286,2307241.1029222854,2398644.870305689,2402948.234476692
2021-11-25,3114446.054168932,2409037.84636026,2404833.131983322,2324929.285818892,2421035.410009058,2415216.981914634
2021-11-26,3018061.512161486,2332059.2980814516,2366354.87230925,2277982.456635146,2404330.675145777,2387456.7259551124
2021-11-29,3037851.9754717276,2332861.2122355043,2373574.860514206,2272178.9659780106,2435286.4165855963,2402453.734592881
2021-11-30,3048551.049858324,2330105.6344461977,2367124.1232552947,2259138.1706523425,2446048.9767357428,2408193.729831891
2021-12-01,3107968.074531786,2361931.663712555,2400865.3890481414,2270265.739143958,2476996.5259605963,2409792.3926375727
2021-12-02,3168340.941177599,2383871.2845011293,2447403.1141610565,2294467.1070243134,2517731.4661308844,2444770.155145601
2021-12-03,3113464.4991891044,2354459.2160502016,2422607.704401535,2280344.638400393,2503277.278569849,2424606.9565300094
2021-12-06,3043337.9711358817,2308389.4050760805,2372107.786417526,2243004.8144400506,2437006.5503136236,2374969.9110570936
2021-12-07,3097208.9311822685,2346917.44300943,2406070.6337075653,2265792.6354576363,2467739.4591881353,2402307.6765451888
2021-12-08,3149515.6782373223,2396265.5837565004,2443542.005976242,2296607.962859618,2501377.6816307623,2425881.8261192515
2021-12-09,3159705.865477923,2397305.911393219,2442855.997644943,2308525.865030905,2496861.3147179205,2410755.65808767
2021-12-10,3142693.4271005425,2390343.559495026,2447292.711786789,2299482.6545657334,2512531.082677515,2399229.95727855
2021-12-13,3175026.743560198,2395335.5990152895,2435046.7408242645,2286165.4321227134,2493292.8459068853,2390969.0065359515
2021-12-14,3177366.100051287,2397465.1870585023,2438651.5582528533,2293360.054651221,2497335.8601433355,2404455.850338994
2021-12-15,3164337.4508050713,2397043.1639566957,2425005.59307341,2286010.124607329,2465947.0284935553,2382921.3920716024
2021-12-16,3185937.4124826225,2390974.784012848,2422875.157511276,2287415.291187018,2480689.8394524176,2393324.5901081855
2021-12-17,3139861.857627276,2349733.480790192,2393643.0510964813,2253646.2500092303,2480500.6759850103,2349767.922022153
2021-12-20,3058032.494750384,2327823.798569733,2361378.614405197,2201906.943403357,2454245.6296135504,2320320.8405045457
2021-12-21,3120778.5883935723,2351132.5473490297,2389808.9330850067,2228487.2917098682,2490925.165456446,2352445.4252720983
2021-12-22,3171645.861693743,2379547.8332377016,2411837.4268136444,2262845.7455762275,2511062.5658165533,2379171.841351373
