,a2c,ddpg,td3,ppo,sac,mvo
2022-08-02,2390845.2815899965,2732847.019030001,2334578.30148,1975748.7491750023,3173871.337725001,3438270.79438341
2022-08-03,2431673.471589996,2797627.3690300006,2376441.50148,2023395.0204500027,3230588.1377250017,3502505.0003708145
2022-08-04,2416504.2515899967,2798362.6390300007,2379320.42148,2031480.5800900026,3228719.867725001,3560010.886795286
2022-08-05,2427719.7915899963,2802684.1190300006,2383247.1414799998,2026374.541555003,3230985.4677250013,3533113.5263409363
2022-08-08,2444229.6315899966,2803323.2190300007,2371339.26148,2024746.4601800027,3219461.9177250015,3505654.139677748
2022-08-09,2427524.3815899966,2804491.4490300007,2363793.90148,2018464.056355003,3222603.2977250014,3461370.3600008506
2022-08-10,2503930.561589997,2877258.999030001,2421197.22148,2069858.7417550026,3305212.2277250006,3549661.2708210032
2022-08-11,2531765.381589997,2886248.0390300006,2423384.22148,2075725.0131400027,3305838.247725001,3519388.0515114227
2022-08-12,2573031.611589997,2936077.4590300005,2456317.7014800003,2112964.997000003,3351343.6977250013,3578023.939533649
2022-08-15,2566997.431589997,2940348.279030001,2457950.6614800002,2110217.955305003,3357627.6877250005,3583154.870452595
2022-08-16,2595472.0215899968,2941925.1990300007,2470164.58148,2116694.3527100026,3365074.4777250015,3590435.2028147834
2022-08-17,2558726.511589997,2920877.8090300006,2444860.46148,2092459.8074200023,3338854.077725001,3556020.9474062724
2022-08-18,2553730.7815899965,2921088.919030001,2448589.18148,2099469.9640850034,3342762.437725001,3570824.271766586
2022-08-19,2492626.4615899962,2868059.819030001,2402608.26148,2057064.657705003,3288291.0877250014,3495754.647748635
2022-08-22,2409435.291589997,2791319.849030001,2342488.30148,1989228.925700003,3201144.8077250016,3403265.3873635707
2022-08-23,2434746.4915899965,2791461.6590300007,2339790.94148,1992904.3108100027,3196171.087725001,3397983.403070368
2022-08-24,2448391.5615899963,2794901.209030001,2351180.1014799997,1991572.0024400034,3195270.7877250016,3404426.378550443
2022-08-25,2491893.7615899965,2837232.9690300007,2399537.58148,2032370.5070100026,3241907.417725001,3487924.5270964624
2022-08-26,2387828.851589997,2717479.279030001,2313943.06148,1930298.1738300028,3127884.1377250007,3329416.1131130373
2022-08-29,2391616.541589997,2687327.4690300007,2294937.50148,1909170.3974400028,3100728.417725001,3283239.0716688447
2022-08-30,2372468.4615899967,2670127.459030001,2277270.46148,1887346.763310003,3081574.2777250013,3243848.463951027
2022-08-31,2336952.3215899966,2647171.719030001,2250969.14148,1867038.210650003,3058195.4477250017,3200527.780157751
2022-09-01,2332974.7615899965,2644949.6890300005,2244258.94148,1877657.0832950028,3058003.577725001,3196832.283965765
2022-09-02,2317267.881589997,2611384.799030001,2220893.8614800004,1857994.751855003,3020930.337725001,3150955.2962230584
2022-09-06,2307962.1315899966,2584069.4390300005,2209566.1014799997,1828449.4508250027,3006081.3377250014,3118058.449676225
2022-09-07,2357901.8115899963,2638932.6190300006,2248951.50148,1868417.5416800024,3067299.057725001,3167005.480597619
2022-09-08,2370390.1715899967,2658191.9390300005,2278614.22148,1875455.0069700025,3107794.587725001,3194240.9654317247
2022-09-09,2398025.701589997,2711534.8690300006,2308291.58148,1915796.0849850029,3151058.987725001,3257087.841076117
2022-09-12,2436653.2315899967,2749416.2990300003,2336765.46148,1951108.1218850026,3167272.497725001,3303372.4951009015
2022-09-13,2292278.641589997,2616695.319030001,2219189.54148,1845863.8572050028,3021160.597725001,3104441.76826289
2022-09-14,2281315.131589997,2610453.3090300006,2233462.18148,1845957.9121050024,3028364.147725001,3133391.15033035
2022-09-15,2252396.4415899967,2585839.4890300008,2233426.42148,1829094.4332800028,3004800.497725001,3101019.0093572377
2022-09-16,2193495.8015899966,2555066.3090300006,2204858.7814800004,1814911.2831400025,2977991.9877250013,3077033.6979487278
2022-09-19,2223772.151589997,2585294.639030001,2225899.9014800005,1834526.897245003,3000825.087725001,3102017.877140915
2022-09-20,2196766.811589997,2563316.879030001,2205530.06148,1812439.8791050029,2962862.087725001,3082945.8547111754
2022-09-21,2146652.9415899967,2514956.3690300006,2154705.78148,1773732.2344900025,2915678.5977250007,3025648.482165625
2022-09-22,2129187.4015899966,2482786.9890300008,2116556.54148,1750983.7638600029,2894417.227725001,2973512.120169602
2022-09-23,2096065.4415899965,2443421.8490300006,2073493.9014800002,1712690.147160003,2857326.377725001,2917566.056533755
2022-09-26,2089675.8915899964,2424211.259030001,2044183.8214800004,1700116.1663600027,2827580.787725001,2901130.358103522
2022-09-27,2086046.7115899965,2413587.8690300006,2039071.0214800003,1695968.3969500028,2812416.897725001,2905201.8932064585
2022-09-28,2112543.511589997,2446728.0590300006,2075501.7414800003,1717446.9395400027,2855013.0577250016,2941879.378362554
2022-09-29,2063126.6715899964,2389030.919030001,2019356.6614800002,1671453.3883150027,2799827.707725001,2833772.6271393066
2022-09-30,2034349.6315899964,2342447.2690300005,1985320.7414800003,1644703.0519300026,2761768.8777250014,2783175.003502117
2022-10-03,2092971.6915899965,2418170.5190300005,2041800.4214800003,1696516.6583250028,2838237.397725001,2856410.666911618
2022-10-04,2203958.371589997,2504498.1190300006,2119181.1414799998,1758100.8539000028,2937832.547725001,2944828.631108891
2022-10-05,2193456.471589997,2491023.6890300005,2105257.46148,1751161.5371300026,2923518.877725001,2940105.3033219636
2022-10-06,2162758.4815899967,2452869.6690300005,2077000.9414800003,1725835.3827750029,2883891.5977250007,2911675.921055237
2022-10-07,2093045.3715899966,2363065.8790300004,2009741.2214800003,1660446.4757350024,2766704.3877250007,2762501.0570182004
2022-10-10,2092760.5715899963,2346195.089030001,2004128.1814800003,1644258.9618900027,2732762.7177250013,2757065.905522316
2022-10-11,2058459.8115899966,2316940.3290300006,1984022.3814800004,1629527.4644400028,2703279.977725001,2744943.518837033
2022-10-12,2055530.9615899962,2301876.569030001,1984033.7014800003,1640043.865325003,2697016.5577250007,2746331.740769619
2022-10-13,2133919.241589997,2399882.4190300005,2048554.6214800004,1691516.3820200027,2794955.8777250014,2802216.316963629
