,date,account_value
237,2019-12-10,2259765.6013499964
238,2019-12-11,2262846.6523199966
239,2019-12-12,2318115.830894996
240,2019-12-13,2305216.0995849967
241,2019-12-16,2294768.134269996
242,2019-12-17,2293591.387644997
243,2019-12-18,2277890.057649997
244,2019-12-19,2289127.226469997
245,2019-12-20,2291273.3530199965
246,2019-12-23,2303816.1330299964
247,2019-12-24,2306384.1937999963
248,2019-12-26,2331118.0121699963
249,2019-12-27,2327975.4241799964
250,2019-12-30,2308209.1662499965
251,2019-12-31,2313948.5572599964
252,2020-01-02,2407128.4736799966
253,2020-01-03,2400439.4758449965
254,2020-01-06,2421760.801769997
255,2020-01-07,2413407.5580499964
256,2020-01-08,2410705.4973899964
257,2020-01-09,2417460.4512099964
258,2020-01-10,2386044.5122899963
259,2020-01-13,2440149.1418799963
260,2020-01-14,2425020.7731799963
261,2020-01-15,2398809.4790799967
262,2020-01-16,2406258.2808049964
263,2020-01-17,2404491.742544996
264,2020-01-21,2392526.7101499964
265,2020-01-22,2370093.6760599967
266,2020-01-23,2406608.7480449965
267,2020-01-24,2387936.5908049964
268,2020-01-27,2340234.7544149966
269,2020-01-28,2373581.1899649967
270,2020-01-29,2487658.3996799965
271,2020-01-30,2481245.5190749965
272,2020-01-31,2463950.2132849963
273,2020-02-03,2451148.4768249965
274,2020-02-04,2498684.083964997
275,2020-02-05,2538017.0353699964
276,2020-02-06,2546063.2223899965
277,2020-02-07,2543662.713219997
278,2020-02-10,2564596.6570449965
279,2020-02-11,2568394.124434997
280,2020-02-12,2599241.6804749966
281,2020-02-13,2561620.748304997
282,2020-02-14,2546800.6402249965
283,2020-02-18,2540543.006059997
284,2020-02-19,2539396.3483199966
285,2020-02-20,2524494.709529996
286,2020-02-21,2477609.1647949964
287,2020-02-24,2391954.3716449966
288,2020-02-25,2303226.6554999966
289,2020-02-26,2267268.5306299967
290,2020-02-27,2168464.593389997
291,2020-02-28,2169773.5894749966
292,2020-03-02,2265871.415314996
293,2020-03-03,2205091.4211599957
294,2020-03-04,2257051.711179996
295,2020-03-05,2125726.0095349965
296,2020-03-06,2030149.3965949966
297,2020-03-09,1817647.2026749963
298,2020-03-10,1954100.1110949966
299,2020-03-11,1835576.8063899963
300,2020-03-12,1635944.907439997
301,2020-03-13,1800230.600139997
302,2020-03-16,1591084.5955399964
303,2020-03-17,1688593.5571249963
304,2020-03-18,1644478.4791299962
305,2020-03-19,1637113.1632399966
306,2020-03-20,1576416.9808299965
307,2020-03-23,1518377.2805349964
308,2020-03-24,1657041.7349049964
309,2020-03-25,1713980.5735149966
310,2020-03-26,1828112.6401549962
311,2020-03-27,1753601.7976949965
312,2020-03-30,1799505.1770399965
313,2020-03-31,1783787.1109249964
314,2020-04-01,1658276.3744499965
315,2020-04-02,1665245.2998349962
316,2020-04-03,1627566.4147549965
317,2020-04-06,1742475.953389997
318,2020-04-07,1729179.0015699964
319,2020-04-08,1786312.1102049965
320,2020-04-09,1782129.7998999967
321,2020-04-13,1777297.9206449965
322,2020-04-14,1792886.3893899966
323,2020-04-15,1730135.3593899962
324,2020-04-16,1721292.8593899969
325,2020-04-17,1805440.2893899966
326,2020-04-20,1769004.3151349963
327,2020-04-21,1734366.5428449963
328,2020-04-22,1742031.7407849964
329,2020-04-23,1757373.1102849965
330,2020-04-24,1744010.3651949964
331,2020-04-27,1785497.9358549966
332,2020-04-28,1838992.5855549965
333,2020-04-29,1848896.3389449965
334,2020-04-30,1874082.4699649964
335,2020-05-01,1779525.5375349966
336,2020-05-04,1751235.1176049965
337,2020-05-05,1749232.7810349965
338,2020-05-06,1721917.0051049965
339,2020-05-07,1756462.7522149966
340,2020-05-08,1797253.5989749965
341,2020-05-11,1781681.7628199968
342,2020-05-12,1744644.0683199964
343,2020-05-13,1698267.2576049964
344,2020-05-14,1710565.3569549965
345,2020-05-15,1698018.8332349968
346,2020-05-18,1812638.6099849963
347,2020-05-19,1795651.3148949961
348,2020-05-20,1837057.5494599966
349,2020-05-21,1829342.371359996
350,2020-05-22,1822933.7009099964
351,2020-05-26,1893719.5827499968
352,2020-05-27,1965652.4206749965
353,2020-05-28,1902075.4098999966
354,2020-05-29,1881798.0153799963
355,2020-06-01,1914548.6051799965
356,2020-06-02,1952550.6000349966
357,2020-06-03,2012792.6752599967
358,2020-06-04,2055634.7609149965
359,2020-06-05,2093527.6382449965
360,2020-06-08,2182348.5934599964
361,2020-06-09,2132128.2238499965
362,2020-06-10,2076241.5183149965
363,2020-06-11,1928883.8188249967
364,2020-06-12,1972666.2584649962
365,2020-06-15,1991973.2560849965
366,2020-06-16,2034908.317929996
367,2020-06-17,2006540.8313849967
368,2020-06-18,2013714.1650899965
369,2020-06-19,2006586.7768999964
370,2020-06-22,1991830.0883799966
371,2020-06-23,1998143.484154997
372,2020-06-24,1911962.8458649968
373,2020-06-25,1945880.0658649965
374,2020-06-26,1887700.4658649967
375,2020-06-29,1932811.7858649965
376,2020-06-30,1963676.8858649966
377,2020-07-01,1966110.814709996
378,2020-07-02,1977709.6547099962
379,2020-07-06,2041548.7747099963
380,2020-07-07,1987061.0295049965
381,2020-07-08,2018034.979504997
382,2020-07-09,1994081.239504997
383,2020-07-10,2034992.4695049967
384,2020-07-13,2021668.2410699967
385,2020-07-14,2047855.2152899962
386,2020-07-15,2072280.6332999964
387,2020-07-16,2064035.312179996
388,2020-07-17,2062141.0001299963
389,2020-07-20,2076993.6604199964
390,2020-07-21,2098885.2026299965
391,2020-07-22,2096832.8973799967
392,2020-07-23,2069068.8363949961
393,2020-07-24,2052749.9291949961
394,2020-07-27,2041376.6587949963
